Summary,Description
Performance recommendation on the scaling policy ,"Implement ECS service auto scaling based on percentage-based task scaling rather than fixed task count. This will ensure more adaptive scaling behavior, improving responsiveness to dynamic workloads across environments (e.g., dev, QA, prod) while reducing the need for hardcoded thresholds.



h3. *Percentage-Based ECS Auto Scaling Alarms: Strategy Overview*

h4. *Current Setup – Absolute Count:*

* Example:
** Scale out when {{CPUUtilization > 70%}} for 5 minutes
** Minimum of 2 tasks, maximum of 10 tasks
** Step scaling adds 1 or 2 tasks per alarm

Proposed Setup – Percentage-Based:

* Instead of saying “add 2 tasks,” scale based on *% of current task count*, e.g., *increase by 50% of current tasks*.
* Useful when service traffic fluctuates frequently or when service is deployed across multiple environments with varying baseline needs."
Perf test for wrapper changes for node-red functionalities,"As we are implementing wrapper changes (i.e. dynamically executing node logic instead of custom executor) we’ll need to compare performance before and after our changes.

More details can be find on parent card"
Performance testing for authorizer,…
Performance testing for lynkup endpoints,Performance testing should be conducted to [https://lynkup.readme.io/reference/createdelivery|https://lynkup.readme.io/reference/createdelivery|smart-link]  these endpoints since we are introducing additional check for XSS
"Perf test for DM- W2G jira (DL-55501, DL-55012, DL-55506)","[https://delivery-solutions.atlassian.net/browse/DL-55501|https://delivery-solutions.atlassian.net/browse/DL-55501|smart-link] 

[https://delivery-solutions.atlassian.net/browse/DL-55012|https://delivery-solutions.atlassian.net/browse/DL-55012|smart-link] 

[https://delivery-solutions.atlassian.net/browse/DL-55506|https://delivery-solutions.atlassian.net/browse/DL-55506|smart-link] "
Update PG indexes to make them covered queries,"Our current pg queries does not have covered indexes. it does index scan + table access to query the data from table. With covered queries, it will be index only scan and table access will be eliminated. This may increase index storage but will be much quicker than current setup.

*For Zones:*
*Current index:*

{noformat}CREATE UNIQUE INDEX 
ON postal_code_zones_idx on postal_code_zones (destination_postal_code, source_postal_code, tenant_id, provider){noformat}

*Proposed index:*

{noformat}CREATE UNIQUE INDEX 
ON postal_code_zones_idx on postal_code_zones (destination_postal_code, source_postal_code, tenant_id, provider)
INCLUDE services;{noformat}

*For Extended Postal Codes:*

*Current index:*

{noformat}CREATE UNIQUE INDEX 
ON extended_postal_codes_idx on postal_code_zones (postal_code, tenant_id, provider){noformat}

*Proposed index:*

{noformat}CREATE UNIQUE INDEX 
ON extended_postal_codes_idx on extended_postal_codes (postal_code, tenant_id, provider)
INCLUDE type;{noformat}

*For Rates:*

*Current index:*

{noformat}CREATE UNIQUE INDEX 
ON rates_idx on rates (service_id, zone, tenant_id, weight, provider, version, based_on){noformat}

*Proposed index:*

{noformat}CREATE UNIQUE INDEX 
ON rates_idx on rates (service_id, zone, tenant_id, weight, provider, version, based_on)
INCLUDE rate;{noformat}

*For rates_version_mapping:*

*Current index:*

{noformat}CREATE UNIQUE INDEX 
ON rates_version_mapping_idx on rates_version_mapping (service_id, zone, tenant_id, weight, provider, version, based_on){noformat}

*Proposed index:*

{noformat}CREATE UNIQUE INDEX 
ON rates_idx on rates (service_id, tenant_id, provider, based_on)
INCLUDE active_version;{noformat}"
Performance Test for Onboarding Service Memory Leak <DL-55238>,
Performance Check for webhook Queues (DL-9485),
"Performance testing Roadie, Uber and DD webhooks","* smart-scaling lambda should be tested in performance test
* hookrecievedAt  and createdAt - should be used to check delay in architecture
* test for live webhooks should work as expected
* Queue backlog metrics"
Internal Load Testing in Prod for W2G (Test 2),"h3. Load Test Details

||*Title*||*Description*||
|Load Test|100 RPS (5 minutes), 250 RPS (5 minutes), 450 RPS (5 minutes)|
|Environment|Production|
|Provider|UPS (Mocked)|
|Track Alert Subscription|Disabled|
|Duration|15 minutes|
|Time Window|Non Peak Hours|
|Impact|Low impact as this will be done in non-peak hours|
|Rate Limits|250 RPS Rate Limit in both region on the tenants considered for Load TEst|
|Monitoring|Performance Team|
|Execution|Performance Team|
|Infra Scale Up and Scale Down|Infra team|

h3. 
PFB the infra requirements - 

_Note:_
_EC2's minimum is regular numbers and maximum is ware2go's numbers_
_ECS's minimum is ware2go's numbers and maximum is ware2go's numbers_

*Oregon* -

* Onboarding service:
** Min - 50 containers, 2 t3a.medium servers
** Max - 50 containers, 25 t3a.medium servers
* API:
** Min - 100 containers, 4 m6i.large servers
** Max - 100 containers, 50 m6i.large servers
* Business Rules:
** Min - 40 containers, 3 m6i.large servers
** Max - 40 containers, 15 m6i.large servers
* Labels service:
** Min - 33 containers, 4 t3a.xlarge servers
** Max - 33 containers, 33 t3a.xlarge servers
* Providers service:
** Min - 45 containers, 2 t3a.medium servers
** Max - 45 containers, 15 t3a.medium servers
* Smart Windows:
** Min - 25 containers, 3 t3a.medium servers
** Max - 25 containers, 13 t3a.medium servers

*North Virginia* -

* Onboarding service:
** Min - 50 containers, 2 t3a.medium servers
** Max - 50 containers, 25 t3a.medium servers
* API:
** Min - 100 containers, 4 m6i.large servers
** Max - 100 containers, 50 m6i.large servers
* Business Rules:
** Min - 40 containers, 3 m6i.large servers
** Max - 40 containers, 15 m6i.large servers
* Labels service:
** Min - 33 containers, 4 t3a.xlarge servers
** Max - 33 containers, 33 t3a.xlarge servers
* Providers service:
** Min - 45 containers, 2 t3a.medium servers
** Max - 45 containers, 15 t3a.medium servers
* Smart Windows:
** Min - 25 containers, 3 t3a.medium servers
** Max - 25 containers, 13 t3a.medium servers"
Do a gap assessment with performance admin panel and plan for self service generic tests,
Perf Load testing for Dynamic DSP Place order,
Perf Load testing for Dynamic DSP Estimate,
Perf Load testing for the workflow-service with the STS & APS flow,
Perf Load testing for the workflow-service with the dummy flow,
Internal Performance test on Prod,
Internal Load Testing in Prod for W2G,"h3. Load Test Details

||*Title*||*Description*||
|Load Test|100 RPS (5 minutes), 250 RPS (5 minutes), 450 RPS (5 minutes)|
|Environment|Production|
|Provider|UPS (Mocked)|
|Duration|15 minutes|
|Time Window|Non Peak Hours|
|Impact|Low impact as this will be done in non-peak hours|
|Rate Limits|250 RPS Rate Limit in both region on the tenants considered for Load TEst|
|Monitoring|Performance Team|
|Execution|Performance Team|
|Infra Scale Up and Scale Down|Infra team|

h3. 
PFB the infra requirements - 

_Note:_
_EC2's minimum is regular numbers and maximum is ware2go's numbers_
_ECS's minimum is ware2go's numbers and maximum is ware2go's numbers_

*Oregon* -

* Onboarding service:
** Min - 50 containers, 2 t3a.medium servers
** Max - 50 containers, 25 t3a.medium servers
* API:
** Min - 100 containers, 4 m6i.large servers
** Max - 100 containers, 50 m6i.large servers
* Business Rules:
** Min - 40 containers, 3 m6i.large servers
** Max - 40 containers, 15 m6i.large servers
* Labels service:
** Min - 33 containers, 4 t3a.xlarge servers
** Max - 33 containers, 33 t3a.xlarge servers
* Providers service:
** Min - 45 containers, 2 t3a.medium servers
** Max - 45 containers, 15 t3a.medium servers
* Smart Windows:
** Min - 25 containers, 3 t3a.medium servers
** Max - 25 containers, 13 t3a.medium servers

*North Virginia* -

* Onboarding service:
** Min - 50 containers, 2 t3a.medium servers
** Max - 50 containers, 25 t3a.medium servers
* API:
** Min - 100 containers, 4 m6i.large servers
** Max - 100 containers, 50 m6i.large servers
* Business Rules:
** Min - 40 containers, 3 m6i.large servers
** Max - 40 containers, 15 m6i.large servers
* Labels service:
** Min - 33 containers, 4 t3a.xlarge servers
** Max - 33 containers, 33 t3a.xlarge servers
* Providers service:
** Min - 45 containers, 2 t3a.medium servers
** Max - 45 containers, 15 t3a.medium servers
* Smart Windows:
** Min - 25 containers, 3 t3a.medium servers
** Max - 25 containers, 13 t3a.medium servers"
Align Performance Environment Configuration with Production Environment,"We need to check each and every component of performance environment and see make a list of all the components which do not match the configuration on production environment. Then make sure perf is updated as per prod.

*_Needed in both regions. Perf should have all the services, RDS etc as it is in both the regions._*
This includes:

# EC2 instance types
# RDS DB, MongoDB and Redis instance types / tiers (of both primary and secondary nodes)
# Replica nodes counts
# ECS, EC2 instance counts (Both region)
# CPU, Memory - soft limit, hard limit on containers
# Autoscaling alarms
# API Gateways
# Authorisers
# Load Balancers
# Security Groups
# Rate Limits
# AZs / Task placement strategy
# Capacity providers
# Mongo DB - primary DB size, replicas for Main DB, Log DB, Returns DB



On top of this, we have to make sure we do not have Cloudwatch insights and Cloudwatch logs on any of the services on performance. "
Client Performance test W2G - Monitoring,
Performance test on Ware2Go use case when shipOptions are not provided (Rate Shopping),"Performance test on Ware2Go use case when shipOptions are not provided

Proposed provider will not be used if shipOptions is not provided, as we have observed that the response times are high when proposed provider is not provided, hence we have to provided additional resources to support this use case. We would like to optimise this to optimise cost and resources before Ware2Go moves into the next phases of the onboarding activity and gets more customer live to Lynkup.

The following cards have been setup for the optimisation purposes:
[https://delivery-solutions.atlassian.net/browse/DL-53364|https://delivery-solutions.atlassian.net/browse/DL-53364|smart-link] 

[https://delivery-solutions.atlassian.net/browse/DL-53365|https://delivery-solutions.atlassian.net/browse/DL-53365|smart-link] 

[https://delivery-solutions.atlassian.net/browse/DL-53188|https://delivery-solutions.atlassian.net/browse/DL-53188|smart-link] 

Once the optimisation is done we can test the feature end to end by not providing shipOption and see if resources required are optimised, API is providing expected response times and the services are stable at 250 RPS to 450 RPS.


Calibrate infra numbers for prod if needed."
Performance Test for AloYoga,"|Timestamp|Email Address|Read and Agree to Rules of Engagement|Type of Test|Scope Definition|Expectations / Desired Outcomes|Expected RPS|Expected Latency|Requested Date & Time|Requested Run Time|Timezone|
|3/4/2025 3:00:56|sandeep.jacob@aloyoga.com|Agree|Performance Test|We need to perf test the delivery assurance api|Modified /api/v2/deliveryAssurance to use ""store-boundary-dsp"" and need to ensure that the API performs well under load while effectively utilizing caching|5|800|3/4/2025|3 hours|PST|"
"Performance Testing Required : E2E Simulation Flow : Upload, Processing, Downloading & Email","To run performance testing for the components being used in Simulation Tool. 

A simulation tool is being built ideally to simulate (run) the real world rate call flow and capture various parameters form the response to collate and provide in a reporting format. These records count would be upto 500k (initially it was 1m)  

Large Dataset testing is required.

To provide “simulation” ability, this is being requested. 

This card should be testing the End 2 End flow of the Simulator tool.

Flow : 

Upload File (500k Records) > Process File (run through orchestration call, custom rates & Custom transit  time flows > Collate/Create File Data > Download File > Email File. "
Calibrate the final infra numbers for Ware2Go use case,"We have to calibrate the infra servers numbers to support:

* 200 RPS
* 450 RPS  (This is the traffic we observed by customer during their testing)

The P95 response time should be as low as possible (not more than 5 seconds). 

These infra numbers will be used by the Infra team for scheduled scaling on production.
This should be only for the pilot launch. We will monitor it for a while and after which we will bring it back if this infra is not required."
Calibrate services to serve W2G traffic in Production,Calibrate services to serve W2G traffic in Production
Performance test of Ware2Go load with Endurance,
Client Performance test 2,To be scheduled.
Assess SLA Impact of Custom Write Concern Implementation,"h3. We will evaluate write performance by checking the response time of key services: 

h3. *Webhooks, API CRON, Place Order, BR MS, and API MS*. 

h3. This will help us assess the impact of multi-region writes.

we will update the *app URI* with an appropriate *multi-region write concern*

* {noformat}db.collection('orders').insertOne({ orderId: 123, status: 'Pending' }, { writeConcern: { w: ""twoRegions"" } });{noformat}"
Client Performance Test,
Investigate WebhookApiGatewayDR timeouts,"Investigate WebhookApiGatewayDR timeouts that caused p1 alert.

Log Links:

# [https://onenr.io/0qwydgPepQn|https://onenr.io/0qwydgPepQn]
# [https://onenr.io/01wZN6WqKw6|https://onenr.io/01wZN6WqKw6]
# [https://onenr.io/0OwvdP80Njv|https://onenr.io/0OwvdP80Njv]
# [https://onenr.io/0qwydgzeXQn|https://onenr.io/0qwydgzeXQn]
# [https://onenr.io/0Zw0kpX6nQv|https://onenr.io/0Zw0kpX6nQv]
# [https://onenr.io/0bRmLVGNWwy|https://onenr.io/0bRmLVGNWwy]
# [https://onenr.io/0BQrkm4K2wZ|https://onenr.io/0BQrkm4K2wZ]"
Perf Load testing for Custom Executor,"Need to do Load performance testing for custom executor. 


*Requirements given on 14th January:*
Need to do Place Order End to End with 1000 flows at 1x and 5x load with code on API MS.



*Requirements given on 20th January:* 
Need to do Place Order End to End with 1000 flows at 1x and 5x load with code on Provider MS.



*Requirements given on 21st January based on 570 ms:*

Need to do Place Order End to End with 1000 flows with API MS with new library changes

Need to do Place Order End to End with 1000 flows with Provider MS with new library changes

Need to do Place Order End to End with *10 flows* at 1x and 5x load with code on Provider MS.

Need to do Place Order End to End with *100 flows* at 1x and 5x load with code on Provider MS. (_do it for 100 only if 10 flows matches the SLA ~ 500 ms_)"
Performance Test for Alo Yoga,"|Timestamp|Email Address|Read and Agree to Rules of Engagement|Type of Test|Scope Definition|Expectations / Desired Outcomes|Expected RPS|Expected Latency|Requested Date & Time|Requested Run Time|Timezone|
|1/6/2025 23:26:21|[sandeep.jacob@aloyoga.com|mailto:sandeep.jacob@aloyoga.com]|Agree|Performance Test|We need to test our carrier service and validation API which internally calls the delivery assurance API -> api/v2/deliveryAssurance|Meets the benchmark of 40 RPS|40|500|1/27/2025|3|PST|"
Performance benchmarking for Client Facing APIs (For Sandbox S2025-OP-105.0.0),
Performance of all APIs (For Sandbox S2025-OP-105.0.0),
Revisit Place Order flavours in generic performance test,"Currently the p95 response time in generic performance tests is seen somewhere around to be 490 ms. However sometimes this goes above 500 ms, which is above our SLAs for place order. This needs some steps like reiterations and/ or DB cleanup to be under 500 ms. We should revisit these flavours and find a solution which can constantly keep this around 450ms or under so that we do not need reiterations.

Possible solutions:

# *Increase the sample size*. Currently the duration of test is around 10 minutes and at 5x traffic this leads to around 1700 samples in 10 minutes. This sample size may be too small which can cause the p95 to deteriorate. We can either increase the duration or throughput to increase the sample size however this can cause the total duration of generic test to increase even further which is already too high.
# *Create new tenants*. We may create new tenants specifically for these flavours. The tenant currently used has lots of setup regarding stores, DSPs which can cause additional latency. Creating a separate tenant with just basic configuration will remove all of this extra data."
"Ware2Go Load Test on Rates (Shipping), PO (Shipping) and Labels APIs","|11/19/2024 22:39:16|[chris.d@ware2go.co|mailto:chris.d@ware2go.co]|Agree|Performance Test|DS to stress test their system to demonstrate that they can receive, rate shop, and return labels to Logiwa so as not to impact warehouse operations. Logiwa will send thousands of requests per day and many of them will come between 2 EST and 9EST as we have 30 warehouses across the country|DS demonstrates that they can return labels to Logiwa in a manner that does not impact warehouse operations|2500|1|11/19/2024|4|EST|

[https://docs.google.com/spreadsheets/d/1yPbLK44YRN_7KyIaU9rWDS7ao9s2e48mR8oRcC3YaVc/edit?gid=441635978#gid=441635978|https://docs.google.com/spreadsheets/d/1yPbLK44YRN_7KyIaU9rWDS7ao9s2e48mR8oRcC3YaVc/edit?gid=441635978#gid=441635978|smart-link] "
Performance test for DL-49215,"Performance test after the implementation of the orderEstimates entity, and the migration of the orderEstimates data from tenant DB to multi-tenant DB."
Performance Testing Required: Rate API in new Infra,"To run performance testing for the components being used in Simulation Tool. 

A simulation tool is being built ideally to simulate (run) the real world rate call flow and capture various parameters form the response to collate and provide in a reporting format. These records count would be upto 500k (initially it was 1m)  

Large Dataset testing is required.

To provide “simulation” ability, this is being requested. "
Perf Load testing for the Node Red Dynamic load and the flows execution.,"Need to do Load performance testing for Node-Red instance.



Execution details can be find here. (will update curl later).

[https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/1152712709/Node-red+Performance+Testing|https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/1152712709/Node-red+Performance+Testing|smart-link] "
Performance test for the temporary /eta endpoint in Pickup Service,Perform the perf and load/stress test on the /eta endpoint introduced in the pickup service
Performance test for DL-3747 and DL-2973,Since we have encrypted api key and provider credentials we need to check the performance of the application 
Only Prod - Make Store Boundaries Node highly available,"During the RCA of [https://delivery-solutions.atlassian.net/browse/DL-48784|https://delivery-solutions.atlassian.net/browse/DL-48784|smart-link] it was found that when one instance goes down, the Store Boundaries Service becomes unstable. Need to have a performance recommendation based on performance tests on the number of instances."
Performance Test for Naruto,Performance test for Naruto
Sally Beauty High Latency DA Calls,"+*This is an escalation from L2 to L3 for extended RCA*+

Sally is seeing increased latency with DA calls with both tenants in prod.

Slow api calls: [https://onenr.io/0bRm77XrrQy|https://onenr.io/0bRm77XrrQy]

single DA log link: [https://onenr.io/0vjA55eozjP|https://onenr.io/0vjA55eozjP]

Slow query: [https://onenr.io/0BR633a1GjO|https://onenr.io/0BR633a1GjO]"
Place Order Performance Testing,"Performance testing for place order, to ensure no increase in latency."
Performance Testing | DL-47536,
Verify communication service with PG Db ,"We have added some code in communication service .  if Postgress Db service got down middle of any task so our communication service will try to reconnect till 5 attempt and after that we are making container down .

So in the task we have to verify the same on QA by making the Postgress Db service down and test the same .

[https://delivery-solutions.atlassian.net/browse/DL-46381|https://delivery-solutions.atlassian.net/browse/DL-46381|smart-link] 



Steps (from [~accountid:62aad5226085950068af4d77] ):

# Start up perf postgres db
# Start up communication service perf
# Communication service should connect to the db
# Shut down perf postgres db
# Communication service should retry connection 5 times and then kill container
# Start up perf postgres db again
# New Communication service container should spawn up
# Communication service should connect to the db
# Just check above steps, no performance test is needed."
Prep Task for Michaels Load Test.,"

!image-20240927-084053.png|width=547,height=645,alt=""image-20240927-084053.png""!



||Scope Definition||Expectations / Desired Outcomes||Expected RPS||Expected Latency||Requested Date & Time||Requested Run Time||Timezone||
|Understand Latency between apps for producing shipping labels|Latency within 3.5 sec and handle sample volume 4000 labels/day or 170/hour|1|2|9/30/2024|72|CST|"
Check Negative Cases Via Perf Environment for Valhalla Failures - Edit Order Case and other places where Valhalla is integrated.,[https://delivery-solutions.atlassian.net/browse/DL-46530|https://delivery-solutions.atlassian.net/browse/DL-46530|smart-link] Need help to test this case
Performance Test for DL-45870,To check impact on PO.
Performance test for DL-38731,Handoff call - [https://drive.google.com/file/d/11KHfcGmQ3V7cUED_aTIDTJuCyToLWIMD/view|https://drive.google.com/file/d/11KHfcGmQ3V7cUED_aTIDTJuCyToLWIMD/view]
Prepare of BigLots Load Test,"{quote}*BigLots:*

""We are planning to do this load test on Sept 10th in Biglots QA website.  Please bring the DA API calls infra in pre-prod environment on 9th sept, so smoke testing can be done on 9th for 2 hours and the Load test can be done on 10th Sept.""{quote}

----

Test setup - 

* JMX to be used - big-lots load test JMX
* Branch - Sandbox for all services(Deploy if needed)
* Replicate Big Lots sandbox data to testing tenant
* Flavours - DA, SW and Rates
* +Check for new integrations/new APIs if any that big lots have started using. Mostly they would be same as present in JMX. Check the store count in Rates and SW calls. If there is a difference, update the same in JMX.+
* Rates and smart windows should use new zips for each request. Use the zips from the generic suite
* TPS is to be tested at - 
** +DA = 250 TPS+
** +SW = 15 TPS+
** +Rates = 15 TPS+
** +PO = 10 TPS+
* Add new flavour - SW with 1 store, with and without provider at 40 TPS
* Update threads and ramp up time to support this TPS
* Test duration is 30 mins, and the final test for sign-off should be 60 mins
* Pre-scale containers of Rates, SW, and DA if required
* Restore sandbox snap on perf
* Make necessary changes in performance authoriser
* Make sure that the testing tenant has these caching settings for DA - 
!image-20240905-045816.png|width=1895,height=988,alt=""image-20240905-045816.png""!

Important - 

* All the APIs should use the mocked DSP that we have created - [https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/784597187/Implementation+of+Mock+Lambda+For+BigLots|https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/784597187/Implementation+of+Mock+Lambda+For+BigLots|smart-link] 
* Before starting the test verify every API, check if the mocked DSP is used, and check if any billable request is being made and fix it.

Things to observe and document - 

* The number of containers need to support the load test
* RDS metrics
* Redis metrics
* Mongodb metrics
* Services metrics
* Check for container deregistration"
Fault Tolerance with Cron Service Report,"*Source:* [https://delivery-solutions.atlassian.net/browse/DL-9167|https://delivery-solutions.atlassian.net/browse/DL-9167|smart-link] 

This requirement is to understand how *Fault Tolerant* and *Scalable* is *Cron Service* to Solution the above, as the above card’s operation is business critical - having this information is crucial for the solution."
Test Valhalla Auto-scaling and provide infra recommendations,"Auto-scaling part of this card - [https://delivery-solutions.atlassian.net/browse/DL-30954|https://delivery-solutions.atlassian.net/browse/DL-30954|smart-link] 

# PO with the driving distance
# PO with RO flow pointing to Valhalla - Make sure we have at least 80% orders as routeOptimised
# Autoscaling numbers - Min, Max, Desired
# Instance type recommendation
# Memory value in TD
# Time required for a new task to spawn in Valhalla ECS.
# ECS Endpoint - [-https://valhalla-test-np.deliverysolutions.co-|https://valhalla-test-np.deliverysolutions.co/status][  https://valhalla.deliverysolutions.co|https://valhalla-test-np.deliverysolutions.co/status]
# OSRM VS Valhalla metrics comparison"
Ensure geocoding is not happening in performance tests,"Logiwa is not sending latitude and longitude, hence we are geocoding. This increases latency in the system along with massive billing. Hence, we should be entering static values in the template for performance environment to ensure no geocoding happens"
Check the existing snapshot migration pipeline in the old portal,"# initiate the snapshot should work as expected for Dev, QA, Sandbox
# migration should work as expected.
# Currently for sandbox snapshot, we cannot migrate an existing snapshot in US work hours. This rule should only apply to taking the snapshot and not migrating an existing snapshot. (to be confirmed by [~accountid:5ee75f40e145af0ab47dacb8] )
# Should allow the migration to rreturns db as well (from general qa & sandbox, returns qa & sandbox and perf. )"
Performance Evaluation for saving package level Barcodes and QR codes - DL-38914,"Performance Evaluation for saving package level Barcodes and QR codes - [https://delivery-solutions.atlassian.net/browse/DL-38914|https://delivery-solutions.atlassian.net/browse/DL-38914|smart-link].

Branches - [https://delivery-solutions.slack.com/archives/C07BQ0T4068/p1721046092032329|https://delivery-solutions.slack.com/archives/C07BQ0T4068/p1721046092032329|smart-link] "
Performance Testing - Iteration 2 for DL-34481 [Provider Service],Performance Testing - Iteration 2 for DL-34481 [Provider Service]
Action Items post Performance Test observations of DL-36788 ,"* POC on Accelerated Transfer for S3 operations since using aws-sdk to fetch directly from S3 has not shown any improvement in performance. [https://aws.amazon.com/s3/transfer-acceleration/|https://aws.amazon.com/s3/transfer-acceleration/|smart-link]
* Also test the labels flavours on compute optimised servers to observe any difference in performance of the label services.
* Resolve dns resolution latency by using http connection polling. [https://delivery-solutions.atlassian.net/browse/DL-14872|https://delivery-solutions.atlassian.net/browse/DL-14872|smart-link] [https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/583630879|https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/583630879|smart-link] 

 "
Calibrating Labels Performance Suite,"* Make following changes to the labels suite:
** Keep only one worst case scenario of 30 packages shipping flavours, bouclair has some orders with 30 packages we should at least have this scenario whenever we conduct our stress tests.
** Change existing 30 packages shipping flavours to 8 packages shipping flavours 
** Replace existing 10 packages delivery flavours and 1 package delivery flavours.
* Test all labels load test scenarios on current V2 Labels Traffic 1x, 5x and 25x. This is going to be our new benchmark going forward.
* V2 vs V3 Service comparison would be needed at current V2 Labels Traffic at 1x.
* Update generic and endurance test traffic with respect to current V2 Labels Traffic."
Investigate uninstrumented traces in distributed tracing found during labels performance test.,"Investigate uninstrumented traces in distributed tracing found during labels performance test.

[https://onenr.io/0nQxOZyMajV|https://onenr.io/0nQxOZyMajV]

!image-20240620-122311.png|width=1571,height=368,alt=""image-20240620-122311.png""!"
Performance Testing for Nearest Location - Return Location Orchestration,
Performance Test: 2' Extension Labels - Place Order Latency Check,"[https://delivery-solutions.atlassian.net/browse/DL-29721|https://delivery-solutions.atlassian.net/browse/DL-29721|smart-link] 

We have made changes in the PO flow for this card. Need to check if the PO response time has not increased.

Need to check v3 Label generation with extension as well."
Create a new relic dashboard for DL-35618,Create a new relic dashboard which mentions the public APIs used by tenants and have phone number in them. This is required for: [https://delivery-solutions.atlassian.net/browse/DL-35618|https://delivery-solutions.atlassian.net/browse/DL-35618|smart-link] 
Performance test for Labels after refactor to fetch directly from S3,"* Test all labels load test scenarios on the same traffic as existing benchmark that is PO traffic 1x, 5x and 25x. This test will be used compare improvement from last benchmark."
Performance Testing  for DL-34481 [Provider Service],"Performance Testing needs to be performed for the following PRs raised - 

API MS - [https://bitbucket.org/deliverysolutions/api.deliverysolutions/pull-requests/14248|https://bitbucket.org/deliverysolutions/api.deliverysolutions/pull-requests/14248|smart-link] 
Estimate MS - [https://bitbucket.org/deliverysolutions/estimates-service/pull-requests/2132|https://bitbucket.org/deliverysolutions/estimates-service/pull-requests/2132|smart-link] 
Library - please check the feature branch - S101_dl34481_provider-connector_beta for src code review and [https://bitbucket.org/deliverysolutions/ds-provider-connector/pull-requests/17|https://bitbucket.org/deliverysolutions/ds-provider-connector/pull-requests/17|smart-link]  PR for unit test cases code review.

Performance Test of the provider service needs to be done in isolation as well as end to end test needs to be performed with Rates, DA and API microservice."
POC of Alerts on Anomaly Detection via NewRelic,"h1. Anomaly detection

Anomaly detection allows your team the most versatility when detecting unusual behavior in your system. Anomaly detection gives your team the ability to alert on any entity or signal and to adjust and optimize your sensitivity thresholds. Anomaly detection uses the same streaming-alerting pipeline as static threshold alerts and shares the same advanced tuning settings. This ensures that the stream processing is aligned to your telemetry signal's characteristics to reduce false alerting.

[https://docs.newrelic.com/docs/alerts-applied-intelligence/applied-intelligence/anomaly-detection/|https://docs.newrelic.com/docs/alerts-applied-intelligence/applied-intelligence/anomaly-detection/|smart-link] "
Script to create dummy labels for labels V3,
Performance Test for Post Dispatch Exception (Exception Management) Refactor DL-32362,
Notification Service Revamp Phase 2 Performance Test,Communication webhooks performance testing should be conducted as part of this task for scheduled and immediate alerts.
Performance Test for Pre Dispatch Exception (Auto Retry) Refactor DL-5840,* Note that we also need a before/after comparison in this card
