summary,description
Perf test for https bound request,As we are implement persistent connection support by introducing a {{keepAliveHttpsAgent}} to reuse secure sockets for outbound HTTPS requests. we’ll need to compare performance before and after our changes. More details can be find on parent card
Performance test for DL-9064 ,Performance test for DL-9064
Mismatch of Jenkins deployment pipeline on the performance portal,"There is a mismatch in the Jenkins deployment pipeline on the performance portal

{noformat}@jenkins.deliverysolutions.co/view/Performance%20Cluster%20Deployment/job/performance-pipeline-type-da/buildWithParameters?token=trinitrotoluene&environmentOverrides=[{""key"":""NEW_RELIC_APP_NAME"",""value"":""PERFORMANCE_DELIVERY_ASSURANCE"",""_id"":""66a79edf2bfc6cc66f76a0e6""},{""key"":""DB_URL"",""value"":""mongodb%2Bsrv://XXXX:XXXX@perf.qwvpp.mongodb.net/<db_name>?retryWrites=true%26w=majority%26maxPoolSize=10%26appName=Deliveryassurance"",""_id"":""66a79edf2bfc6cc66f76a0e7""},{""key"":""REDIS_URL"",""value"":""redis://perf-api-cache-encrypted.yryf11.ng.0001.usw2.cache.amazonaws.com:6379"",""_id"":""66a79edf2bfc6cc66f76a0e8""},{""key"":""NODE_ENV"",""value"":""qa"",""_id"":""66a79edf2bfc6cc66f76a0e9""},{""key"":""LOG_DB_URL"",""value"":""mongodb%2Bsrv://XXXX:XXXX@dev-log-cluster.qwvpp.mongodb.net/<db_name>?retryWrites=true%26w=majority%26maxPoolSize=10%26appName=Deliveryassurance"",""_id"":""66a79edf2bfc6cc66f76a0ea""},{""key"":""STOP_SAVING_METERING_IN_OLD_DB"",""value"":""true"",""_id"":""66a79edf2bfc6cc66f76a0eb""}]&taskDefinitionName=delivery-assurance-perf-nlb&serviceNameMapping=common-delivery-assurance-qa&referenceEnvironment=qa&branch=S2024-DM-84.0.0&repository=delivery-assurance&serviceName=delivery-assurance-perf&region=us-west-2&ecsClusterName=delivery-assurance-perf&ecsServiceName=delivery-assurance-perf{noformat}

!Screenshot 2025-04-26 at 1.06.13 PM.png|width=1440,height=900,alt=""Screenshot 2025-04-26 at 1.06.13 PM.png""!

Check for all active services from the performance portal if pipeline not exist than need to create pipeline for both the region

As we have migrated our jenkins pipeline from {{https://jenkins.deliverysolutions.co/view/PERF/}}  to {{https://jenkins2.deliverysolutions.co/view/Performance%20Cluster%20Deployment/}}  so we need to update this in our performance backend"
Analyse providers to array performance in provider service,"We have added hint to the providers to array query, although this hasn’t improved our performance as seen in our tests. We need to look into it again and see what can be done."
Performance results after implementation of hint index for fetching providers,Source: [~accountid:5ee75f40e145af0ab47dacb8] / [~accountid:5de9d451be6c1f0d0720c76c] 
"performance test on providers Rodie, FedEX - DL-38132",//to be added by [~accountid:63329316748d1bfcb859470f] 
[Perf] check the performance for new flow for sending returns and orders notifications,"[https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/1085669708/Entity+Driven+-+Workflow+Communications|https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/1085669708/Entity+Driven+-+Workflow+Communications|smart-link] 

Added link for new architecture for sending notifications.

As part of [https://delivery-solutions.atlassian.net/browse/DL-50960|https://delivery-solutions.atlassian.net/browse/DL-50960|smart-link], we have created new single flow for sending both order/ returns notifications. 

We have removed the filtering for status update events from api MS and all events will now be pushed in messaging service. 
This new flow created in messaging service is responsible to send all types of triggered notifications - 
1. Immediate
2. Send if 
3. Scheduled

Returns and order notifications will be moved in new collection → communications
And their respective templates will be added in new collection → communicationTemplates

All the event related info and enrichment related info is stored in qa-lma-master → 
entityEvents and entityTriggers collection

For the flow execution, we will be querying both entityEvents and entityTriggers collection for every event and then we will be fetching the respective communications related to that event. 

Check if the indexing is correct for these collections- 
entityEvents
entityTriggers
communications
communicationTemplates

And also check the performance of this new execution. 

Note ⚠️ :

We have added checks in api, returns and cron service, so as to test this new flow only for specific tenants. Inform the tenants we need to do performance testing in, and we will run migration to move these data in new collections. 
Connect with [~accountid:5cebd260f34cf30f24aad116] / [~accountid:712020:cf58f07f-3f46-4ec5-a09a-74aea6f1fc2e] for any doubts. 

"
Sephora Spring Sale Prep,"!image-20250325-103719.png|width=1870,height=1132,alt=""image-20250325-103719.png""!"
Performance test for rates upload,
Performance test for the packing slip/return request endpoint ,"We have introduced an endpoint that we use to generate the packing slip.

Perform the perf and load/stress test on the {{/packing-slip}} endpoint introduced in the label service

Resource name - {{/api/v3/packing-slip?tenantId=${tenantId}&token=${jwtToken}}}

to generate jwt token we will need secret key.

The secret key to be used for the non-prod environment.  {{XT6PRpRuehFsyMa2}}

Prod env secret key {{dRC3xTYd3v02Rn}}

Additionally this endpoint will be generated in the return request. So, we will also need to perform a performance check for the return request api."
Performance test for Cubic Feet Tier rates,
Performance Test for Lynkup APIs,"Performance (Stress) Testing for Cloud hosted applications
Application:
NOTE: This should be listed on a transaction-by-transaction basis. For example, running multiple
transactions (i.e. login, execute a search, submit a form, etc.) metrics need to be captured for each.

Non-Peak testing: # of current users/ 5 years out
Peak testing; # of expected users/ 5 years out
Response times (SLA met?)
Lowest
AVG
Highest
Error rate:
Requests per second/ minute/ hour:
Stress parameter used was X% over anticipated Peak volume:

Environment (server and network):
Application server CPU utilization:
Application server Memory utilization:
Database server CPU utilization:
Database server Memory utilization:
Network utilization (throughput):

Duration of testing:
Tool used (Jmeter, Gatling, LoadRunner, Other (specify)"
[Perf] Check the impact of adding rule-engine component in send email / sms flow,
Performance of all APIs - Aug 2025,
Performance benchmarking for Client Facing APIs - Aug 2025,
Performance of all APIs - July 2025,
Performance benchmarking for Client Facing APIs - July 2025,
Performance of all APIs - JUNE 2025,
Performance benchmarking for Client Facing APIs - JUNE 2025,
Performance of all APIs (For Sandbox S2025-IAF-110.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2025-IAF-110.0.0),
Performance test for Label Service,
Endurance Test - March-25,
Endurance Test - FEB-25,
Endurance Test - JAN-25,
Performance analysis on placement strategy on ECS services in Common clusters,
Performance test for TNT days uploads to postal code zones table,
Performance of all APIs (For Sandbox S2025-OP-109.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2025-OP-109.0.0),
Performance of all APIs (For Sandbox S2025-PP-108.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2025-PP-108.0.0),
Performance of all APIs (For Sandbox S2025-DM-107.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2025-DM-107.0.0),
Performance Test For OrderEstimate entries Back in Rate Service,"[https://delivery-solutions.atlassian.net/browse/DL-47701|https://delivery-solutions.atlassian.net/browse/DL-47701|smart-link] 

Execute Order Estimates and Rate Services to validate Response."
Performance of all APIs (For Sandbox S2025-IAF-106.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2025-IAF-106.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-PP-104.0.0),
Performance of all APIs (For Sandbox S2024-PP-104.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-DM-103.0.0),
Performance of all APIs (For Sandbox S2024-DM-103.0.0),
Performance test for zone files upload per tenant,
Record and Analyze Customer Traffic During Peak Holiday Season - Jan '25,
Record and Analyze Customer Traffic During Peak Holiday Season - December '24,
Performance test of Micro-frontends,"* As we have shifted to a Micro-frontends architecture pattern in our portal, we need to access and understand what is the performance impact(before & after) for the portal pages. 
* Now that the modules are being fetched and loaded from a separate CloudFront endpoint, its obvious that we will see some hit on the initial page loading time.
* We need to understand by how much is the rise in this page loading time
* We need to check the load times with and without caching -
**  When we load the portal for the first time, CORS calls + remote modules will be fetched
**  When the portal is already loaded and modules have been cached
* Check the load time metrics like - LCP, Speed Index, Total blocking time, etc and prepare a comparison report
* Refer to these 2 docs to understand how we can do FE performance analysis -
** [https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/810287240/Frontend+Performance+Metrics|https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/810287240/Frontend+Performance+Metrics|smart-link] 
** [https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/811040966/Frontend+Performance+Tools|https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/811040966/Frontend+Performance+Tools|smart-link] "
3rd iteration: Inhouse ETA ETD performance testing,"Following the updates from AIML team under [https://delivery-solutions.atlassian.net/browse/DL-49334|https://delivery-solutions.atlassian.net/browse/DL-49334|smart-link] & the general traffic of 5k records on perforamance server itself under this task’s subtask ([49368|https://delivery-solutions.atlassian.net/browse/DL-49368]), perfrom the testing using Jmeter."
Add Curbside to Generic Tests,"We should add curbside to the list of generic tests. I am seeing 150 RPM for location checks during few hours in the day. Wakefern is creating around 2 lakh orders a month

_Issue created in Slack from a_ [_message_|https://delivery-solutions.slack.com/archives/C041BC3JLJJ/p1732001954991479?thread_ts=1732001954.991479&cid=C041BC3JLJJ]_._



!image-20241126-164421.png|width=2214,height=304,alt=""image-20241126-164421.png""!"
add curbside order type flavour in generic suite,
Performance Test For Pickup Service,"Performance Test for the new pickup service

|/locations|"
Performance benchmarking for Client Facing APIs (For Sandbox S2024-IA-102.0.0),
Performance of all APIs (For Sandbox S2024-IA-102.0.0),
Updated inhouse-eta-etd performance testing,"+*Description:*+

With updated new relic distributed tracing (able to see child functions) & also having newrelic header as an request field in itself (which can be leveraged in individual tracking of modules), we perform another round of inhouse-eta-etd testing with correct compute instance types. 



+*Screenshots:*+ 

!image (1).png|width=2836,height=1502,alt=""image (1).png""!

+*Desired outputs:*+ 

We choose to have P95 & TPM as per the estimate service. 

+*Next steps:*+

# Further subtasks to be created upon discussion with perf team. "
Need infra recommendation for prod services,"The infra recommendation needed for below services . 
[https://docs.google.com/spreadsheets/d/1FKGhS_Q3rp6dcbPAWVhz1SOrLNgliQqfPCaGm1MVphY/edit?usp=sharing|https://docs.google.com/spreadsheets/d/1FKGhS_Q3rp6dcbPAWVhz1SOrLNgliQqfPCaGm1MVphY/edit?usp=sharing|smart-link] 

|| || ||
|[+claims-prod+|https://us-west-2.console.aws.amazon.com/ecs/v2/clusters/common-prod/services/claims-prod/health?region=us-west-2]|Common-prod|
|[+drivers-service-prod-nlb+|https://us-west-2.console.aws.amazon.com/ecs/v2/clusters/common-prod/services/drivers-service-prod-nlb/health?region=us-west-2]|Common-prod|
|[+label-service-prod+|https://us-west-2.console.aws.amazon.com/ecs/v2/clusters/common-prod/services/label-service-prod/health?region=us-west-2]|Common-prod|
|[+place-order-async-prod+|https://us-west-2.console.aws.amazon.com/ecs/v2/clusters/common-prod/services/place-order-async-prod/health?region=us-west-2]|Common-prod|
|[+providers-service-prod+|https://us-west-2.console.aws.amazon.com/ecs/v2/clusters/common-prod/services/providers-service-prod/health?region=us-west-2]|Common-prod|
|onboarding-service-prod|onboarding-service-prod|
|transformer-prod-nlb|transformer-prod-nlb|
|streaming-service|streaming-service-PROD|
|returns-prod|returns-prod|
|fleet-routing-prod|fleet-routing-prod|"
Performance benchmarking for Client Facing APIs (For Sandbox S2024-OP-101.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-DM-99.0.0),
Performance test for : DL-46826,"PR -  [https://bitbucket.org/deliverysolutions/onboarding-service/pull-requests/281/overview|https://bitbucket.org/deliverysolutions/onboarding-service/pull-requests/281/overview|smart-link] 

Performance test for Onboarding MS (DAP) Node upgrade : [https://delivery-solutions.atlassian.net/browse/DL-46826|https://delivery-solutions.atlassian.net/browse/DL-46826|smart-link].



# We have update node version to - 20.17.0
# We updated all packages & dependencies to latest version
# Update docker file - 
{noformat}FROM node:14.21.3 to node:20.17.0-slim{noformat}
# module system update 
{noformat}""module"": ""commonjs"" to - ""module"": ""NodeNext"",{noformat}"
Performance benchmarking for Client Facing APIs (For Sandbox S2024-PP-100.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-IA-99.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-PP-OR-97.0.0 ),
Performance test for Shipping files upload in API,
Record and Analyze Customer Traffic During Peak Holiday Season - November '24,We have to prepare a document/ google sheet which records the regular traffic of each tenant and the peak traffic they sent during the holiday season for every flavour/ api. This will help us to strategise our flavours accordingly and thus we can be ready for next holiday season.
Performance benchmarking for Client Facing APIs (For Sandbox S2024-IAF-96.0.0),
DA Performance Test at 10X,
Create Webhook Uber Orders for Generic Test in QA Environment,
Performance benchmarking for Client Facing APIs (For Sandbox S2024-DM-95.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-PP-93.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-DM-92.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-IA-91.0.0),
DA performance test,"* Check for DB connection latency
* Check impact for cold start of the authorizer lambda 
* Benchmark the authorizer latency
* Check for sudden spike of 10X
*  Verify UPS use case"
Performance test for API MS Node upgrade DL-23944 & DL-2494,
Performance benchmarking for Client Facing APIs (For Sandbox S2024-OP-94.0.0),
Inhouse ETA ETD performance testing,"Based on the present (3rd Sept 2024) in-house ETA ETD solution ( having fastapi background container on non prod instance - [https://delivery-solutions.atlassian.net/browse/DL-45316|https://delivery-solutions.atlassian.net/browse/DL-45316|smart-link] ), we want to understand the performance of this app. 

explanation of request bodies : [https://delivery-solutions.atlassian.net/browse/DL-45170|https://delivery-solutions.atlassian.net/browse/DL-45170|smart-link] 

* Sagemaker multi model endpoint → to be confirmed with AIML team. 

----

Steps to do : 

# Capture all required Dockerfile, container information to replicate for a company wide API. 
## Have an API listening to this app. (To be developed as created in Cognida case). 
## [https://delivery-solutions.atlassian.net/browse/DL-45361|https://delivery-solutions.atlassian.net/browse/DL-45361|smart-link] 
# Generate the below set of data requests 
## ASAP request 
## Partial schedule request
## Complete schedule request 

----

Sample request body : 

{noformat}{
  ""requests"": [
    {
      ""ORDER_ID"" : ""ghi"",
      ""PROVIDERS"": [""Onfleet""],
      ""TENANTID"": ""strack_and_van_til"",
      ""PICKUPADDRESS_ZIPCODE"": ""46368"",
      ""PICKUPADDRESS_COUNTRY"": ""US"",
      ""PICKUPADDRESS_STATE"": ""IN"",
      ""PICKUPADDRESS_CITY"": ""Portage"",
      ""DELIVERYADDRESS_COUNTRY"": ""US"",
      ""DELIVERY_DISTANCE"": 1.25,
      ""DISPATCH_TIME"" : 1721872700000   
    },
    {
      ""ORDER_ID"" : ""abc"",
      ""PROVIDERS"": [""Uber""],
      ""TENANTID"": ""strack_and_van_til"",
      ""PICKUPADDRESS_ZIPCODE"": ""46368"",
      ""PICKUPADDRESS_COUNTRY"": ""US"",
      ""PICKUPADDRESS_STATE"": ""IN"",
      ""PICKUPADDRESS_CITY"": ""Portage"",
      ""DELIVERYADDRESS_COUNTRY"": ""US"",
      ""DROPOFFTIMEENDSAT"": 1721872800000,
      ""DELIVERY_DISTANCE"": 1.25,
      ""DISPATCH_TIME"" : 1721872700000
    },
    {
      ""ORDER_ID"" : ""def"",
      ""PROVIDERS"": [""Roadie""],
      ""TENANTID"": ""TotalWine"",
      ""PICKUPADDRESS_ZIPCODE"": ""12345"",
      ""PICKUPADDRESS_COUNTRY"": ""US"",
      ""PICKUPADDRESS_STATE"": ""NY"",
      ""PICKUPADDRESS_CITY"": ""NY"",
      ""DELIVERYADDRESS_COUNTRY"": ""US"",
      ""DROPOFFTIMESTARTSAT"": 1721872700000,
      ""DROPOFFTIMEENDSAT"": 1721872800000,
      ""DELIVERY_DISTANCE"": 10
    }
  ]
}{noformat}"
Performance benchmarking for Client Facing APIs (For Sandbox S2024-OP-90.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-PP-89.0.0),
To find Wakefern DA/Place Order TPS,"We have found Capstone do have some rate limits on their end in Prod as 300 per minute and so we have asked them to increase it.

For that we need to come up with load we are currently having in Milezero and as of now Wakefern V8 is the one who was actively using it.



Can you get this at the earliest?"
Performance benchmarking for Client Facing APIs (For Sandbox S2024-IA-98.0.0),
Restructure the JMX scripts according to the new folder structure,We need to implement this folder structure in the load-scripts repo to better manage our JMeter scripts - [https://delivery-solutions.atlassian.net/browse/DL-30947?focusedCommentId=72425|https://delivery-solutions.atlassian.net/browse/DL-30947?focusedCommentId=72425|smart-link] 
Performance benchmarking for Client Facing APIs (For Sandbox S2024-DM-88.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-IA-87.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-OP-86.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-PP-85.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-DM-84.0.0),
Add PO -> provider service flavour in Generic V2,"# Under the same tenant that is used in generic, add a new provider instance of Roadie named - {{Roadie - Provider MS}}
# Add a new store and assign above created DSP
# Make sure {{providerMsRouteFlag}} flag is true for this provider
# Check the PO flow in QA. Provider service should be involved in the PO call"
Update the scaling numbers to the performance portal,"# update scaling numbers for 1x, 5x, 10x, 25x, PET, Endurance"
Check the task definition section in the performance portal,all task Definitions should be updated in the mentioned clusters.
Traffic Audit for Holiday Season,
Performance Testing for Patch /v2/routes/{{routeId}} API,"API is going through some changes which can lead to performance impact.

API Curl

{noformat}curl --location --request PATCH 'https://sandbox.portal-api.deliverysolutions.co/api/v2/routes/300624-1-1719730084184' \
--header 'x-api-key: SNvnkYLPhhi6LnBuRfO9+g==' \
--header 'tenantId: manshi_four' \
--header 'Content-Type: application/json' \
--data '{
    ""orders"": [
        {
            ""orderId"": ""6680ff91a3e35e2321c7986a"",
            ""batchSequence"": 1
        },
        {
            ""orderId"": ""6680ff93a3e35e2321c79885"",
            ""batchSequence"": 2
        }

    ]
}'{noformat}"
Performance benchmarking for Client Facing APIs (For Sandbox S2024-IA-83.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-PP-81.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-DM-80.0.0),
Performance test of AWS services in Order Resource related service,"Performance test of AWS services in Order Resource related service

We might have concerns with respect to issues/timeout while uploading labels/attachments/short urls or publishing SQS or SNS data at high throughput.

Need to run our performance suite to evaluate that all the aws services are working as expected.

Add error logs if they are not already logged in our source code, run our performance suite, enable logging in performance environment, ensure you enable error logging only in performance environment to monitor that there are no AWS related failures logged in our performance tests."
Performance benchmarking for Client Facing APIs (For Sandbox S2024-IA-79.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-OP-78.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-PP-77.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-DM-76.0.0),
Application endpoint on a VM/serverless exposing cleartext cloud keys,"||Issue||Ticket||Subscription||Status||Created|| || ||
|perf-stack-manager-dev-service
Lambda Function|-|Last Mile
us-west-2|Open|Apr 3, 2024, 5:5| | |

We need to find where this key is used in the application. This key is long deprecated. So is it legacy implementation that is deployed? We should remove this key from the application

!Screenshot 2024-06-07 at 1.41.48 PM.png|width=406,height=416,alt=""Screenshot 2024-06-07 at 1.41.48 PM.png""!"
Calibration of API-CRON to handle 5X traffic spike ,"A P1 was observed in production where API-CRON had a memory spike

!image-20240530-060458.png|width=1324,height=719,alt=""image-20240530-060458.png""!

!image-20240530-062430.png|width=1330,height=718,alt=""image-20240530-062430.png""!

----

I could see {{POST//uber/hooks/update-delivery-status}} had multiple timeouts. 

!image-20240530-071512.png|width=1418,height=750,alt=""image-20240530-071512.png""!



!image-20240530-072657.png|width=1404,height=742,alt=""image-20240530-072657.png""!"
Performance benchmarking for Client Facing APIs (For Sandbox S2024-IA-75.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-OP-78.0.0),
Revisit Endurance Test Setup - 2024,"# Fix locations documents
# Make sure latest server types are used in the launch templates
# Make sure the scaling policies are same as defined in [https://docs.google.com/spreadsheets/d/1FKGhS_Q3rp6dcbPAWVhz1SOrLNgliQqfPCaGm1MVphY/edit#gid=0|https://docs.google.com/spreadsheets/d/1FKGhS_Q3rp6dcbPAWVhz1SOrLNgliQqfPCaGm1MVphY/edit#gid=0|smart-link] (2023-24 sheet)"
Performance benchmarking for Client Facing APIs (For Sandbox S2024-OP-74.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-PP-73.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-DM-72.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-IA-71.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-OP-70.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-PP-69.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-DM-68.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-IA-67.0.0),
Performance Test for Live Webhooks,"There are changes in the way geofences were fetched earlier, for webhooks.

The changes done have a performance impact.

Please test live webhooks for geofences.

----

With this bug fix - [https://delivery-solutions.atlassian.net/browse/DL-34048|https://delivery-solutions.atlassian.net/browse/DL-34048|smart-link] , we have introduced {{cacheNotificationsAndAlerts}} function in lmahook.js > {{updateLiveOrder}} function.

We need to only simulate a load of Iive webhooks for Delivery as well as Curbside orders. The goal is to observe the before-after difference in the live webhooks performance.

* Review the code changes
* Ensure, Geofece alerts and customer notifications for the status used in the DSP webhooks are enabled for that tenant
* Delivery type orders setup - 
** Order status that will be send through the webhook should be one of the live webhook statuses. Eg. if Roadie is used as DSP, the status in DSP webhooks should be either {{shipment.driver_assigned}} or {{shipment.pickup_confirmed}}
** Use the same status for every DSP webhook call
* For Curbside setup - 
** Refer this tenant to QA for creating a Curbside order, else connect with [~accountid:712020:56855bd1-dd35-4898-9e41-5230da1a0d6a] to get the correct curbside order.
** Order for reference - [https://qa.portal.deliverysolutions.co/#/deliveries/status/orders/order_details/6602a4858f349fb5ff421dc5|https://qa.portal.deliverysolutions.co/#/deliveries/status/orders/order_details/6602a4858f349fb5ff421dc5|smart-link] 
** Curl that can be used for live status updates for Curbside orders - 
{noformat}curl --location 'http://localhost:8000/hooks/proximity-service/update-delivery-status' \
--header 'content-type: application/json' \
--header 'cache-control: no-cache' \
--header 'x-api-key: xG5QtBykvDgRQaNp8vToVQ==' \
--data '	
{
    ""accuracy"": 2.8,
    ""activity_confidence"": 100,
    ""altitude"": 0,
    ""altitude_accuracy"": -1,
    ""battery_is_charging"": false,
    ""battery_level"": 0.33,
    ""companyId"": ""test_business_palash"",
    ""company_token"": ""test_business_palash"",
    ""created_at"": ""2024-03-15T12:40:39.897Z"",
    ""device_id"": 410,
    ""endLat"": 19.9768092,
    ""endLong"": 73.8335294,
    ""eta"": ""2024-03-15T12:55:04+00:00"",
    ""event"": ""motionchange"",
    ""extras"": {
        ""endLat"": 19.9768092,
        ""endLong"": 73.8335294,
        ""journeyId"": ""bea46544-0998-4fac-83e4-7bebfc45a64e"",
        ""orderId"": ""PushNotif190"",
        ""useAuto"": true
    },
    ""heading"": 244.34,
    ""heading_accuracy"": -1,
    ""hereFlag"": true,
    ""is_moving"": true,
        ""latitude"":  19.9768965,
        ""longitude"": 73.8324174,
    ""odometer"": 41981.8,
    ""orderId"": ""PushNotif190"",
    ""order_id"": ""PushNotif190"",
    ""order_status"": ""in_transit"",
    ""recorded_at"": ""2024-03-15T12:40:39.122Z"",
    ""speed"": 27.78,
    ""speed_accuracy"": -1,
    ""timestamp"": ""2024-03-15T12:40:39.122Z"",
    ""uuid"": ""3d28ce48-1883-4dfe-9356-3a319a6db24d"",
    ""isManual"": false
}'{noformat}
** This live webhook is called in proximity service flow"
